id,product,price,college,Sub Category,rating,stock,is_out_of_stock,views_count,wishlist_count,add_to_cart_count,buyers_count,discount_pct,final_price,price_range_category,stock_range,seasonality,effective_price,cart_to_view_ratio,wishlist_to_view_ratio,image
2487,Rulers Kit for engineering,155,engineering,Rulers,3.5,11,0,192,12,22,4,8.1,126.325,High,Medium,Spring,142.445,0.113989637,0.062176166,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2488,Templates Kit for engineering,450,engineering,Templates,3.5,21,0,201,12,28,7,22.8,424.35,High,Medium,Summer,347.4,0.138613861,0.059405941,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2489,Eliraky High Quality Gold Leaves,184,arts;architecture;engineering,Art Supplies,2.1,34,0,216,12,29,7,14.1,135.056,High,Medium,Autumn,158.056,0.133640553,0.055299539,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2490,Rulers Kit for engineering,45,engineering,Rulers,3.5,27,0,192,13,22,6,5.1,34.155,Medium,Medium,Summer,42.705,0.113989637,0.067357513,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2491,Rulers Kit for arts;architecture;engineering,166.5,arts;architecture;engineering,Rulers,3,17,0,203,10,23,7,17.1,130.3695,High,Medium,Autumn,138.0285,0.112745098,0.049019608,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2492,Star 5500 Colored Spray Paint - 400 ml,36,arts;architecture;engineering,Art Supplies,3.1,19,0,227,11,20,7,15.5,35.28,Medium,Medium,Summer,30.42,0.087719298,0.048245614,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2493,Drawing Sketch Kit for engineering,100,engineering,Drawing Sketch,4.6,18,0,204,10,15,2,13.6,83.5,High,Medium,Summer,86.4,0.073170732,0.048780488,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2494,Templates Kit for engineering,13.65,engineering,Templates,2.6,22,0,188,7,13,4,10.3,11.99835,Low,Medium,Spring,12.24405,0.068783069,0.037037037,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2495,Xuebei High Quality Oil Pastel Sticks No.1818-24 - 24 Color,9.5,arts;architecture;engineering,Colors,4.1,22,0,186,9,21,3,1.6,8.113,Low,Medium,Spring,9.348,0.112299465,0.048128342,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2496,Rulers Kit for engineering,80,engineering,Rulers,3.3,19,0,218,11,14,6,18.1,71.52,Medium,Medium,Autumn,65.52,0.063926941,0.050228311,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2497,Uni Pin Fine Line Pigment Ink Pen with Different Sizes,41.6,arts;architecture;engineering,Pencils and Pens,3.3,20,0,207,13,25,4,15.5,38.9792,Medium,Medium,Summer,35.152,0.120192308,0.0625,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2498,Rulers Kit for engineering,25,engineering,Rulers,4.1,20,0,207,9,19,5,17.6,24.65,Low,Medium,Summer,20.6,0.091346154,0.043269231,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2499,Standard Wick Pencil No.8000,160,arts;architecture;engineering,Pencils and Pens,3.8,22,0,205,6,17,5,0.1,154.08,High,Medium,Winter,159.84,0.082524272,0.029126214,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2500,Pan Wen Bo Abstract Expression Brush No.MK.18.2 - 50 mm,54.5,arts;architecture;engineering,Brushes,3.9,18,0,224,12,21,7,2.5,40.7115,Medium,Medium,Spring,53.1375,0.093333333,0.053333333,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2501,Matloub 17 Slot Oval Color Palette,46.25,arts;architecture;engineering,Color Pallets,4.2,22,0,196,12,22,4,5,41.625,Medium,Medium,Spring,43.9375,0.111675127,0.060913706,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2502,scalpel,5,animal dissection,dissection tools,3.3,17,0,203,16,18,8,13.5,4.495,Low,Medium,Winter,4.325,0.088235294,0.078431373,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970508/0b0bc3d9-9235-4aff-8804-2d00d7e0717d_tzxsza.jpg
2503,laboratory glasses,25,laboratory  tools,chemical tools,3,14,0,206,6,17,4,24.2,18.7,Low,Medium,Autumn,18.95,0.082125604,0.028985507,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2504,Staedtler Mars Drawing Geometrical Set No.56922 - 4 Pcs,175,arts;architecture;engineering,Art Supplies,2.7,22,0,184,11,21,6,7.4,138.425,High,High,Spring,162.05,0.113513514,0.059459459,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2505,charmtemp,900,faculty of dentistry,chemical tools,2.9,26,0,197,10,25,6,24.3,693.9,High,Medium,Spring,681.3,0.126262626,0.050505051,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
2506,KeepSmiling Artist Wide Painting Brush Size.1 No.MK-58,79,arts;architecture;engineering,Brushes,5,19,0,211,4,22,8,7.1,70.547,Medium,High,Winter,73.391,0.103773585,0.018867925,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2507,KeepSmiling Mini Detail Linner Brushes Set - 6 Pcs,85,arts;architecture;engineering,Brushes,4.4,18,0,179,11,18,1,22.5,71.825,Medium,Medium,Spring,65.875,0.1,0.061111111,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2508,Rulers Kit for engineering,650,engineering,Rulers,2.5,27,0,230,6,26,5,26.2,466.7,High,Medium,Autumn,479.7,0.112554113,0.025974026,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2509,Rulers Kit for engineering,10,engineering,Rulers,2.5,25,0,183,11,21,6,24.5,7.71,Low,Medium,Winter,7.55,0.114130435,0.059782609,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2510,Rulers Kit for arts;architecture;engineering,17,arts;architecture;engineering,Rulers,3.9,16,0,226,13,12,7,22.2,15.164,Low,Medium,Winter,13.226,0.052863436,0.057268722,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2511,KeepSmiling Pastel and Charcoal Blenders No.0071.3A - 3 Pcs,17,arts;architecture;engineering,Art Supplies,3.9,18,0,196,11,17,2,1.2,12.92,Low,Medium,Autumn,16.796,0.086294416,0.055837563,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2512,Templates Kit for engineering,50,engineering,Templates,3.9,18,0,228,8,30,5,9.9,48.25,Medium,Medium,Spring,45.05,0.131004367,0.034934498,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2513,Rulers Kit for arts;architecture;engineering,33.75,arts;architecture;engineering,Rulers,3.3,11,0,183,13,26,9,5.9,25.1775,Low,Medium,Summer,31.75875,0.141304348,0.070652174,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2514,Spatula,20,laboratory  tools,chemical tools,3.4,24,0,176,13,18,7,14.2,19.24,Low,Medium,Spring,17.16,0.101694915,0.073446328,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2515,Art Supplies Kit for arts,90,arts,Art Supplies,3.7,23,0,188,13,19,8,10.6,78.21,Medium,Medium,Autumn,80.46,0.100529101,0.068783069,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
2516,M&G Colorful Water Color Set 12 Color With 2 brushes,59,arts;architecture;engineering,Colors,3.6,14,0,193,8,7,2,18.5,57.997,Medium,Medium,Autumn,48.085,0.036082474,0.041237113,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2517,KeepSmiling High Quality Fine Arts Chisel Tip Brushes Set with Different Sizes No.A6070X - 13 Pcs,162,arts;architecture;engineering,Brushes,1.8,24,0,229,11,25,7,17,139.806,High,Medium,Summer,134.46,0.108695652,0.047826087,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2518,Carioca Tempera Gouache Color Jar 500 ml No.40427,140,arts;architecture;engineering,Colors,3.3,18,0,195,6,16,5,12.9,108.08,High,Medium,Winter,121.94,0.081632653,0.030612245,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2519,M&G High Quality Acrylic Pen Marker 2.0 mm - Different Colors,27,arts;architecture;engineering,Colors,2.9,19,0,202,5,15,4,23,20.844,Low,Medium,Autumn,20.79,0.073891626,0.024630542,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2520,6-hole Rack,10,faculty of veterinary medicine,storage equipment,3.6,18,0,215,6,19,10,0.4,7.89,Low,Medium,Spring,9.96,0.087962963,0.027777778,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970337/fvoz_14he_230404_d83dpp.jpg
2521,6-hole Rack,3,laboratory  tools,storage equipment,5,16,0,217,11,23,6,26,2.802,Low,Medium,Winter,2.22,0.105504587,0.050458716,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2522,M&G Single Round Painting Brush No.97886A Size.1,10.75,arts;architecture;engineering,Brushes,3.8,14,0,184,8,18,3,0.1,8.91175,Low,Medium,Summer,10.73925,0.097297297,0.043243243,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2523,Rulers Kit for architecture;engineering - arts,6.75,architecture;engineering - arts,Rulers,3.3,28,0,195,10,18,4,13.6,5.0895,Low,Medium,Autumn,5.832,0.091836735,0.051020408,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2524,Circlular Canvas 280 gm Size 20 cm,230,arts;architecture;engineering,Canvas,4.2,28,0,218,12,24,11,26.4,201.25,High,Medium,Winter,169.28,0.109589041,0.054794521,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2525,Rulers Kit for engineering,180,engineering,Rulers,3.9,18,0,208,15,25,7,12.5,158.04,High,Medium,Winter,157.5,0.119617225,0.071770335,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2526,Rulers Kit for engineering,155,engineering,Rulers,3.8,23,0,206,14,25,6,22.7,126.325,High,Medium,Spring,119.815,0.120772947,0.06763285,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2527,K-MAX Silicon Tip Pen Brush Set No.6086 - 5 Pcs,54,arts;architecture;engineering,Brushes,4,28,0,212,12,20,5,12.1,42.444,Medium,Medium,Summer,47.466,0.093896714,0.056338028,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2528,Art Supplies Kit for arts,249.9,arts,Art Supplies,5,23,0,201,13,22,2,25.5,191.1735,High,Medium,Winter,186.1755,0.108910891,0.064356436,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
2529,manual files(15_40)(45-80) ,45,faculty of dentistry,chemical tools,2.7,15,0,211,3,26,9,30,44.145,Medium,Medium,Autumn,31.5,0.122641509,0.014150943,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
2530,Artino Art Tools High Gloss Acrylic Varnish - 125 ml,35,arts;architecture;engineering,Oils,3.9,20,0,173,3,23,8,26.9,28.595,Low,Medium,Winter,25.585,0.132183908,0.017241379,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2531,overhead mask,2,faculty of veterinary medicine,safety equipment,2.8,16,0,221,11,22,6,1.7,1.676,Low,Medium,Winter,1.966,0.099099099,0.04954955,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970337/fvoz_14he_230404_d83dpp.jpg
2532,Dropper,12,faculty of agriculture,dissection tools,3.9,19,0,199,11,18,8,4.4,11.52,Low,Medium,Winter,11.472,0.09,0.055,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
2533,Rulers Kit for arts;architecture;engineering,19.5,arts;architecture;engineering,Rulers,2.8,14,0,219,14,28,10,16.3,17.238,Low,Medium,Autumn,16.3215,0.127272727,0.063636364,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2534,Rulers Kit for arts;architecture;engineering,53.5,arts;architecture;engineering,Rulers,3.2,22,0,197,9,17,6,28.8,48.471,Medium,Medium,Summer,38.092,0.085858586,0.045454545,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2535,Rulers Kit for arts;architecture;engineering,18.75,arts;architecture;engineering,Rulers,3.3,14,0,198,15,23,8,12.2,16.425,Low,Medium,Autumn,16.4625,0.115577889,0.075376884,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2536,Matloub Single Angle Painting Brush Size.20,73.5,arts;architecture;engineering,Brushes,4.2,22,0,189,12,24,9,8.3,60.1965,Medium,Medium,Autumn,67.3995,0.126315789,0.063157895,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2537,Elecrticity Plastic Drawing Template No.8125,32.25,arts;architecture;engineering,Templates,4.2,27,0,213,7,24,7,28.9,28.3155,Low,Low,Spring,22.92975,0.112149533,0.03271028,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2538,bag,90,faculty of nursing,storage equipment,2.6,10,0,222,10,24,7,21.3,65.07,Medium,Medium,Autumn,70.83,0.107623318,0.044843049,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970641/43339_l3ncbo.jpg
2539,Rulers Kit for engineering,140,engineering,Rulers,3.5,11,0,213,20,14,2,23.1,113.96,High,Low,Summer,107.66,0.065420561,0.093457944,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2540,Templates Kit for architecture;engineering - arts,25,architecture;engineering - arts,Templates,3,19,0,188,9,15,4,3.3,19.075,Low,Medium,Summer,24.175,0.079365079,0.047619048,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2541,Smart Atrist Canvas 280 gm Size 15 *15 cm,36,arts;architecture;engineering,Canvas,2.6,15,0,191,9,21,6,7.9,29.88,Medium,Medium,Autumn,33.156,0.109375,0.046875,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2542,Templates Kit for engineering,50,engineering,Templates,3.3,18,0,213,9,25,11,15.1,36.25,Medium,Medium,Spring,42.45,0.11682243,0.042056075,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2543,Drawing Sketch Kit for engineering,190,engineering,Drawing Sketch,3.3,19,0,192,9,13,2,22.1,147.63,High,Medium,Summer,148.01,0.067357513,0.046632124,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2544,Rulers Kit for engineering,175,engineering,Rulers,5,29,0,214,13,13,5,10.4,140.875,High,Medium,Winter,156.8,0.060465116,0.060465116,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2545,cover,25,faculty of bio technology,microscopy supplies,3.8,20,0,206,5,18,4,6.1,23.75,Low,Medium,Spring,23.475,0.086956522,0.024154589,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969552/Pngtree_microscope_with_lab_glassware_science_17031040_cawpip.png
2546,Rulers Kit for engineering,10,engineering,Rulers,2.5,16,0,179,12,19,9,13.1,8.45,Low,Medium,Winter,8.69,0.105555556,0.066666667,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2547,KeepSmiling High Quality Artist Brush Set with Different Sizes - 6 Pcs,82.5,arts;architecture;engineering,Brushes,3.1,28,0,183,13,18,6,12.7,78.9525,Medium,Medium,Spring,72.0225,0.097826087,0.070652174,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2548,Templates Kit for arts;architecture;engineering,210,arts;architecture;engineering,Templates,4.3,24,0,189,12,10,3,26.2,209.79,High,Medium,Summer,154.98,0.052631579,0.063157895,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2549,Circlular Canvas 280 gm Size 15 cm,46,arts;architecture;engineering,Canvas,5,14,0,175,13,13,3,28,33.35,Medium,Medium,Spring,33.12,0.073863636,0.073863636,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2550,beaker 100,35,laboratory  tools,glassware,2.3,21,0,175,5,20,4,5.1,25.97,Low,Medium,Spring,33.215,0.113636364,0.028409091,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2551,laboratory glass,3,faculty of agriculture,cleaning tools,2.1,22,0,207,10,18,6,8.4,2.328,Low,Medium,Spring,2.748,0.086538462,0.048076923,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
2552,cutter olfa,35,engineering,Rulers,4.9,13,0,218,6,17,6,23.6,34.51,Medium,Medium,Winter,26.74,0.077625571,0.02739726,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2553,KeepSmiling Unwashable Glass Liner Tupe No.7921 - White,10.5,arts;architecture;engineering,Art Supplies,3.8,28,0,190,12,12,6,7.4,10.2375,Low,Medium,Autumn,9.723,0.062827225,0.062827225,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2554,M&G Single Round Painting Brush No.97886L Size.11,110.25,arts;architecture;engineering,Brushes,2.8,21,0,184,14,23,7,7.9,79.49025,Medium,Medium,Spring,101.54025,0.124324324,0.075675676,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2555,Canson 45° Aristotle Acrylic Triangle with Plastic Grip No.8035 - 35 cm,138,arts;architecture;engineering,Art Supplies,3.9,19,0,206,9,20,4,20.3,114.402,High,Medium,Winter,109.986,0.096618357,0.043478261,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2556,stethoscope,170,faculty of nursing,chemical tools,1.5,18,0,225,11,22,8,15.3,147.39,High,Medium,Winter,143.99,0.097345133,0.048672566,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970641/43339_l3ncbo.jpg
2557,Elecrticity Plastic Drawing Template No.8125,32.25,arts;architecture;engineering,Templates,3.5,20,0,188,8,13,6,21.1,28.3155,Low,Low,Spring,25.44525,0.068783069,0.042328042,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2558,Pencils And Pens Kit for arts;architecture;engineering,158,arts;architecture;engineering,Pencils and Pens,3.7,20,0,205,9,20,11,2.2,122.134,High,Medium,Winter,154.524,0.097087379,0.04368932,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2559,K-MAX Art Works Artist Canvas 380 gm Size 60*80 cm No.HC-6080,60,arts;architecture;engineering,Canvas,4.2,18,0,209,10,22,8,15.1,48.9,Medium,Medium,Summer,50.94,0.104761905,0.047619048,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2560,Anesthetic,40,faculty of agriculture,cleaning tools,2.7,17,0,187,12,14,3,20.2,33.24,Medium,Medium,Summer,31.92,0.074468085,0.063829787,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
2561,Rulers Kit for engineering,550,engineering,Rulers,3.6,21,0,235,8,30,9,14.2,548.9,High,Medium,Autumn,471.9,0.127118644,0.033898305,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2562,Cokai Plastic Interior Finish Template No.KJ-016,200,arts;architecture;engineering,Templates,2.8,15,0,194,7,23,7,3.8,188.4,High,Medium,Spring,192.4,0.117948718,0.035897436,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2563,M&G Single Round Painting Brush No.97886J Size.9,19,arts;architecture;engineering,Brushes,3.7,25,0,193,7,23,7,4,18.107,Low,Medium,Autumn,18.24,0.118556701,0.036082474,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2564,Pencils And Pens Kit for arts;architecture;engineering,46.75,arts;architecture;engineering,Pencils and Pens,2.8,28,0,178,4,18,3,17.6,46.23575,Medium,Medium,Winter,38.522,0.100558659,0.022346369,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2565,Rulers Kit for engineering,40,engineering,Rulers,3.2,16,0,203,11,18,4,4.3,39.08,Medium,Medium,Autumn,38.28,0.088235294,0.053921569,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2566,Sheloi Artist Series Gouache Colors Set 12 ml No.12010 - 12 Colors,55,arts;architecture;engineering,Colors,2.8,18,0,203,7,22,7,9.1,46.915,Medium,Medium,Winter,49.995,0.107843137,0.034313725,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2567,Templates Kit for engineering,180,engineering,Templates,4,17,0,218,10,18,7,13.2,141.12,High,Medium,Spring,156.24,0.082191781,0.0456621,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2568,Art Nation Fabric Paint Color Set 15 ml No.FAC0615 - 6 Colors,16.5,arts;architecture;engineering,Colors,4.1,17,0,188,11,14,3,17.8,13.1505,Low,Medium,Spring,13.563,0.074074074,0.058201058,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2569,Jovi Craft Air Dry Clay For Modelling Pure White - 500 gm,35,arts;architecture;engineering,Art Supplies,3.3,27,0,185,9,19,4,8,28.595,Low,Medium,Autumn,32.2,0.102150538,0.048387097,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2570,Cokai Plastic 25 cm Oval Template No.KJ-012,59,arts;architecture;engineering,Templates,3.5,22,0,214,15,21,8,12.2,55.578,Medium,Medium,Winter,51.802,0.097674419,0.069767442,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2571,manual files extralong ,350,faculty of dentistry,chemical tools,2.4,14,0,160,10,12,4,11,334.25,High,Medium,Autumn,311.5,0.074534161,0.062111801,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
2572,Rulers Kit for arts;architecture;engineering,33.75,arts;architecture;engineering,Rulers,3.3,17,0,180,7,18,5,2.9,25.1775,Low,Medium,Summer,32.77125,0.099447514,0.038674033,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2573,Superior Classics Premium Quality Water Color Markers Set No.YSB-24A - 24 Color,75,arts;architecture;engineering,Colors,3.5,20,0,196,6,20,3,24.1,58.875,Medium,Medium,Summer,56.925,0.101522843,0.030456853,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2574,Sealer adseal ,40,faculty of dentistry,chemical tools,5,13,0,202,14,25,7,22.3,30.96,Medium,Medium,Autumn,31.08,0.123152709,0.068965517,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
2575,Funnel,350,laboratory  tools,liquid handling,2.7,31,0,188,8,22,9,23.5,293.3,High,Low,Autumn,267.75,0.116402116,0.042328042,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2576,Rulers Kit for engineering,30,engineering,Rulers,4.6,17,0,211,9,18,1,4.4,24.66,Low,Medium,Summer,28.68,0.08490566,0.04245283,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2577,Jovi Craft Air Dry Clay For Modelling Pure White - 1000 gm,35,arts;architecture;engineering,Art Supplies,4.2,14,0,197,12,23,4,15.5,25.585,Low,Medium,Autumn,29.575,0.116161616,0.060606061,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2578,Corot High Quality Flat Wooden Color Palette No.666P - 20*30 cm,100,arts;architecture;engineering,Color Pallets,3.7,22,0,202,4,28,11,9.9,91,High,Medium,Summer,90.1,0.137931034,0.019704433,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2579,regular tubes,3,faculty of veterinary medicine,chemical tools,4.8,21,0,203,10,23,7,10.5,2.661,Low,Medium,Autumn,2.685,0.112745098,0.049019608,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970337/fvoz_14he_230404_d83dpp.jpg
2580,Staedtler Full Watercolor Pencils Set No.14610G - 12 Pcs,215,arts;architecture;engineering,Colors,3.8,24,0,212,12,25,8,2,162.755,High,Medium,Spring,210.7,0.117370892,0.056338028,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2581,K-MAX 12 Color Artist Palette with a Brush No.1230 - Medium Size,112.25,arts;architecture;engineering,Color Pallets,3.8,12,0,211,14,18,7,28.4,91.48375,High,Medium,Autumn,80.371,0.08490566,0.066037736,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2582, Cylinder 100ml,45,laboratory  tools,glassware,3.5,16,0,218,15,33,8,28.2,38.25,Medium,Medium,Autumn,32.31,0.150684932,0.068493151,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
2583,Rulers Kit for engineering,225,engineering,Rulers,4.4,15,0,186,9,15,4,12.2,167.175,High,Medium,Autumn,197.55,0.080213904,0.048128342,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2584,Rulers Kit for engineering,30,engineering,Rulers,4.3,20,0,178,12,20,5,25.6,28.44,Low,Medium,Winter,22.32,0.111731844,0.067039106,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2585,Rulers Kit for engineering,85,engineering,Rulers,3,23,0,200,5,19,4,9.9,69.615,Medium,Medium,Winter,76.585,0.094527363,0.024875622,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
